,age
410,53
411,48
412,47
413,38
414,43
415,48
416,43
417,37
418,46
419,32
420,47
421,45
422,44
423,54
424,49
425,54
426,50
427,29
428,58
429,52
430,41
431,58
432,49
433,50
434,39
435,57
436,40
437,43
438,45
439,45
440,48
441,45
442,46
443,37
444,48
445,31
446,54
447,58
448,46
449,46
450,33
451,44
452,51
453,28
454,45
455,28
456,30
457,28
458,33
459,36
460,57
461,28
462,41
463,41
464,40
465,24
466,29
467,39
468,29
469,43
470,35
471,43
472,27
473,24
474,43
475,28
476,31
477,49
478,28
479,43
480,48
481,34
482,37
483,31
484,30
485,40
486,30
487,33
488,36
489,38
490,32
491,30
492,39
493,37
494,44
495,34
496,39
497,21
498,29
499,50
500,35
501,33
502,51
503,35
504,45
505,31
506,35
507,49
508,32
509,59
510,48
511,24
512,38
513,44
514,41
515,36
516,41
517,33
518,34
519,35
520,42
521,39
522,43
523,28
524,34
525,45
526,33
527,32
528,42
529,31
530,29
531,38
532,38
533,53
534,33
535,28
536,35
537,48
538,34
539,32
540,33
541,51
542,30
543,30
544,26
545,23
546,29
547,35
548,37
549,27
550,29
551,43
552,38
553,37
554,37
555,39
556,24
557,37
558,28
559,40
560,43
561,31
562,39
563,31
564,29
565,33
566,47
567,43
568,29
569,33
570,38
571,40
572,26
573,24
574,48
575,38
576,39
577,41
578,32
579,32
580,43
581,26
582,40
583,34
584,39
585,21
586,50
587,41
588,33
589,33
590,26
591,45
592,37
593,23
594,40
595,28
596,40
597,39
598,36
599,35
600,24
601,38
602,43
603,41
604,39
605,53
606,32
607,45
608,36
609,29
610,33
611,53
612,30
613,26
614,26
615,27
616,28
617,38
618,34
619,29
620,18
621,34
622,34
623,39
624,34
625,43
626,26
627,34
628,38
629,31
630,38
631,36
632,44
633,45
634,34
635,32
636,35
637,37
638,26
639,27
640,28
641,51
642,47
643,31
644,53
645,25
646,55
647,23
648,31
649,35
650,27
651,29
652,28
653,36
654,50
655,33
656,39
657,28
658,21
659,42
660,46
661,49
662,39
663,37
664,51
665,39
666,38
667,41
668,36
669,31
670,38
671,39
672,36
673,29
674,35
675,38
676,33
677,32
678,40
679,38
680,42
681,34
682,32
683,39
684,26
685,28
686,65
687,34
688,48
689,49
690,52
691,28
692,41
693,37
694,29
695,31
696,31
697,50
698,46
699,25
